CPUOperator,Baseline,Score
AggregateInPandasExec,0,1.2
ArrowEvalPythonExec,0,1.2
FlatMapGroupsInPandasExec,0,1.2
FlatMapCoGroupsInPandasExec,0,1.2
MapInPandasExec,0,1.2
WindowInPandasExec,0,1.2
KMeans-pyspark,0,8.86
KMeans-scala,0,1
PCA-pyspark,0,2.24
PCA-scala,0,2.69
LinearRegression-pyspark,0,2
LinearRegression-scala,0,1
RandomForestClassifier-pyspark,0,6.31
RandomForestClassifier-scala,0,1
RandomForestRegressor-pyspark,0,3.66
RandomForestRegressor-scala,0,1
XGBoost-pyspark,0,1
XGBoost-scala,0,3.31
